air_op_stem,n_declares,example_declare
air.mad,18,"declare <16 x double> @air.mad.v16f64(<16 x double>, <16 x double>, <16 x double>) local_unnamed_addr #1"
air.mad24.s,6,"declare <16 x i32> @air.mad24.s.v16i32(<16 x i32>, <16 x i32>, <16 x i32>) local_unnamed_addr #1"
air.mad24.u,6,"declare <16 x i32> @air.mad24.u.v16i32(<16 x i32>, <16 x i32>, <16 x i32>) local_unnamed_addr #1"
air.mad_hi.s,24,"declare <16 x i16> @air.mad_hi.s.v16i16(<16 x i16>, <16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.mad_hi.u,24,"declare <16 x i16> @air.mad_hi.u.v16i16(<16 x i16>, <16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.mad_sat.s,24,"declare <16 x i16> @air.mad_sat.s.v16i16(<16 x i16>, <16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.mad_sat.u,24,"declare <16 x i16> @air.mad_sat.u.v16i16(<16 x i16>, <16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.max.s,24,"declare <16 x i16> @air.max.s.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.max.u,24,"declare <16 x i16> @air.max.u.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.min.s,24,"declare <16 x i16> @air.min.s.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.min.u,24,"declare <16 x i16> @air.min.u.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.mix,18,"declare <16 x double> @air.mix.v16f64(<16 x double>, <16 x double>, <16 x double>) local_unnamed_addr #1"
air.mul24.s,6,"declare <16 x i32> @air.mul24.s.v16i32(<16 x i32>, <16 x i32>) local_unnamed_addr #1"
air.mul24.u,6,"declare <16 x i32> @air.mul24.u.v16i32(<16 x i32>, <16 x i32>) local_unnamed_addr #1"
air.mul_hi.s,24,"declare <16 x i16> @air.mul_hi.s.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.mul_hi.u,24,"declare <16 x i16> @air.mul_hi.u.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.native_cos,6,declare <16 x float> @air.native_cos.v16f32(<16 x float>) local_unnamed_addr #1
air.native_exp,6,declare <16 x float> @air.native_exp.v16f32(<16 x float>) local_unnamed_addr #1
air.native_exp10,6,declare <16 x float> @air.native_exp10.v16f32(<16 x float>) local_unnamed_addr #1
air.native_exp2,6,declare <16 x float> @air.native_exp2.v16f32(<16 x float>) local_unnamed_addr #1
air.native_log,6,declare <16 x float> @air.native_log.v16f32(<16 x float>) local_unnamed_addr #1
air.native_log10,6,declare <16 x float> @air.native_log10.v16f32(<16 x float>) local_unnamed_addr #1
air.native_log2,6,declare <16 x float> @air.native_log2.v16f32(<16 x float>) local_unnamed_addr #1
air.native_powr,6,"declare <16 x float> @air.native_powr.v16f32(<16 x float>, <16 x float>) local_unnamed_addr #1"
air.native_rsqrt,6,declare <16 x float> @air.native_rsqrt.v16f32(<16 x float>) local_unnamed_addr #1
air.native_sin,6,declare <16 x float> @air.native_sin.v16f32(<16 x float>) local_unnamed_addr #1
air.native_sqrt,6,declare <16 x float> @air.native_sqrt.v16f32(<16 x float>) local_unnamed_addr #1
air.native_tan,6,declare <16 x float> @air.native_tan.v16f32(<16 x float>) local_unnamed_addr #1
air.nextafter,18,"declare <16 x double> @air.nextafter.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1"
air.popcount,24,declare <16 x i16> @air.popcount.v16i16(<16 x i16>) local_unnamed_addr #1
air.pow,18,"declare <16 x double> @air.pow.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1"
air.pown,18,"declare <16 x double> @air.pown.v16f64(<16 x double>, <16 x i32>) local_unnamed_addr #1"
air.powr,18,"declare <16 x double> @air.powr.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1"
air.read_depth_2d,1,"declare { float, i8 } @air.read_depth_2d.f32(ptr addrspace(1) nocapture readonly, i32, <2 x i32>, i32, i32) local_unnamed_addr #5"
air.read_depth_2d_array,1,"declare { float, i8 } @air.read_depth_2d_array.f32(ptr addrspace(1) nocapture readonly, i32, <2 x i32>, i32, i32, i32) local_unnamed_addr #5"
air.read_depth_2d_ms,1,"declare { float, i8 } @air.read_depth_2d_ms.f32(ptr addrspace(1) nocapture readonly, i32, <2 x i32>, i32, i32) local_unnamed_addr #5"
air.read_depth_2d_ms_array,1,"declare { float, i8 } @air.read_depth_2d_ms_array.f32(ptr addrspace(1) nocapture readonly, i32, <2 x i32>, i32, i32, i32) local_unnamed_addr #5"
air.read_texture_1d,2,"declare { <4 x float>, i8 } @air.read_texture_1d.v4f32(ptr addrspace(1) nocapture readonly, i32, i32, i32) local_unnamed_addr #5"
air.read_texture_1d.s,1,"declare { <4 x i32>, i8 } @air.read_texture_1d.s.v4i32(ptr addrspace(1) nocapture readonly, i32, i32, i32) local_unnamed_addr #5"
air.read_texture_1d.u,1,"declare { <4 x i32>, i8 } @air.read_texture_1d.u.v4i32(ptr addrspace(1) nocapture readonly, i32, i32, i32) local_unnamed_addr #5"
air.read_texture_1d_array,2,"declare { <4 x float>, i8 } @air.read_texture_1d_array.v4f32(ptr addrspace(1) nocapture readonly, i32, i32, i32, i32) local_unnamed_addr #5"
air.read_texture_1d_array.s,1,"declare { <4 x i32>, i8 } @air.read_texture_1d_array.s.v4i32(ptr addrspace(1) nocapture readonly, i32, i32, i32, i32) local_unnamed_addr #5"
air.read_texture_1d_array.u,1,"declare { <4 x i32>, i8 } @air.read_texture_1d_array.u.v4i32(ptr addrspace(1) nocapture readonly, i32, i32, i32, i32) local_unnamed_addr #5"
air.read_texture_2d,2,"declare { <4 x float>, i8 } @air.read_texture_2d.v4f32(ptr addrspace(1) nocapture readonly, <2 x i32>, i32, i32) local_unnamed_addr #5"
air.read_texture_2d.s,1,"declare { <4 x i32>, i8 } @air.read_texture_2d.s.v4i32(ptr addrspace(1) nocapture readonly, <2 x i32>, i32, i32) local_unnamed_addr #5"
air.read_texture_2d.u,1,"declare { <4 x i32>, i8 } @air.read_texture_2d.u.v4i32(ptr addrspace(1) nocapture readonly, <2 x i32>, i32, i32) local_unnamed_addr #5"
air.read_texture_2d_array,2,"declare { <4 x float>, i8 } @air.read_texture_2d_array.v4f32(ptr addrspace(1) nocapture readonly, <2 x i32>, i32, i32, i32) local_unnamed_addr #5"
air.read_texture_2d_array.s,1,"declare { <4 x i32>, i8 } @air.read_texture_2d_array.s.v4i32(ptr addrspace(1) nocapture readonly, <2 x i32>, i32, i32, i32) local_unnamed_addr #5"
air.read_texture_2d_array.u,1,"declare { <4 x i32>, i8 } @air.read_texture_2d_array.u.v4i32(ptr addrspace(1) nocapture readonly, <2 x i32>, i32, i32, i32) local_unnamed_addr #5"
air.read_texture_2d_ms,1,"declare { <4 x float>, i8 } @air.read_texture_2d_ms.v4f32(ptr addrspace(1) nocapture readonly, <2 x i32>, i32, i32) local_unnamed_addr #5"
air.read_texture_2d_ms.s,1,"declare { <4 x i32>, i8 } @air.read_texture_2d_ms.s.v4i32(ptr addrspace(1) nocapture readonly, <2 x i32>, i32, i32) local_unnamed_addr #5"
air.read_texture_2d_ms.u,1,"declare { <4 x i32>, i8 } @air.read_texture_2d_ms.u.v4i32(ptr addrspace(1) nocapture readonly, <2 x i32>, i32, i32) local_unnamed_addr #5"
air.read_texture_2d_ms_array,1,"declare { <4 x float>, i8 } @air.read_texture_2d_ms_array.v4f32(ptr addrspace(1) nocapture readonly, <2 x i32>, i32, i32, i32) local_unnamed_addr #5"
air.read_texture_2d_ms_array.s,1,"declare { <4 x i32>, i8 } @air.read_texture_2d_ms_array.s.v4i32(ptr addrspace(1) nocapture readonly, <2 x i32>, i32, i32, i32) local_unnamed_addr #5"
air.read_texture_2d_ms_array.u,1,"declare { <4 x i32>, i8 } @air.read_texture_2d_ms_array.u.v4i32(ptr addrspace(1) nocapture readonly, <2 x i32>, i32, i32, i32) local_unnamed_addr #5"
air.read_texture_3d,2,"declare { <4 x float>, i8 } @air.read_texture_3d.v4f32(ptr addrspace(1) nocapture readonly, <3 x i32>, i32, i32) local_unnamed_addr #5"
air.read_texture_3d.s,1,"declare { <4 x i32>, i8 } @air.read_texture_3d.s.v4i32(ptr addrspace(1) nocapture readonly, <3 x i32>, i32, i32) local_unnamed_addr #5"
air.read_texture_3d.u,1,"declare { <4 x i32>, i8 } @air.read_texture_3d.u.v4i32(ptr addrspace(1) nocapture readonly, <3 x i32>, i32, i32) local_unnamed_addr #5"
air.read_texture_buffer_1d,2,"declare { <4 x float>, i8 } @air.read_texture_buffer_1d.v4f32(ptr addrspace(1) nocapture readonly, i32, i32) local_unnamed_addr #5"
air.read_texture_buffer_1d.s,1,"declare { <4 x i32>, i8 } @air.read_texture_buffer_1d.s.v4i32(ptr addrspace(1) nocapture readonly, i32, i32) local_unnamed_addr #5"
air.read_texture_buffer_1d.u,1,"declare { <4 x i32>, i8 } @air.read_texture_buffer_1d.u.v4i32(ptr addrspace(1) nocapture readonly, i32, i32) local_unnamed_addr #5"
air.remainder,18,"declare <16 x double> @air.remainder.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1"
air.remquo,36,"declare <16 x double> @air.remquo.v16f64(<16 x double>, <16 x double>, ptr nocapture writeonly) local_unnamed_addr #50"
air.rhadd.s,24,"declare <16 x i16> @air.rhadd.s.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.rhadd.u,24,"declare <16 x i16> @air.rhadd.u.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.rint,18,declare <16 x double> @air.rint.v16f64(<16 x double>) local_unnamed_addr #1
air.rootn,18,"declare <16 x double> @air.rootn.v16f64(<16 x double>, <16 x i32>) local_unnamed_addr #1"
air.rotate,24,"declare <16 x i16> @air.rotate.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.round,18,declare <16 x double> @air.round.v16f64(<16 x double>) local_unnamed_addr #1
air.rsqrt,21,declare <16 x double> @air.rsqrt.v16f64(<16 x double>) local_unnamed_addr #1
air.sample_depth_2d,1,"declare { float, i8 } @air.sample_depth_2d.f32(ptr addrspace(1) nocapture readonly, ptr addrspace(2) nocapture readonly, i32, <2 x float>, i1, <2 x i32>, i1, float, float, i32) local_unnamed_addr #2"
air.sample_depth_2d_array,1,"declare { float, i8 } @air.sample_depth_2d_array.f32(ptr addrspace(1) nocapture readonly, ptr addrspace(2) nocapture readonly, i32, <2 x float>, i32, i1, <2 x i32>, i1, float, float, i32) local_unnamed_addr #2"
air.sample_texture_1d,2,"declare { <4 x float>, i8 } @air.sample_texture_1d.v4f32(ptr addrspace(1) nocapture readonly, ptr addrspace(2) nocapture readonly, float, i1, i32, i1, float, float, i32) local_unnamed_addr #2"
air.sample_texture_1d.s,1,"declare { <4 x i32>, i8 } @air.sample_texture_1d.s.v4i32(ptr addrspace(1) nocapture readonly, ptr addrspace(2) nocapture readonly, float, i1, i32, i1, float, float, i32) local_unnamed_addr #2"
air.sample_texture_1d.u,1,"declare { <4 x i32>, i8 } @air.sample_texture_1d.u.v4i32(ptr addrspace(1) nocapture readonly, ptr addrspace(2) nocapture readonly, float, i1, i32, i1, float, float, i32) local_unnamed_addr #2"
air.sample_texture_1d_array,2,"declare { <4 x float>, i8 } @air.sample_texture_1d_array.v4f32(ptr addrspace(1) nocapture readonly, ptr addrspace(2) nocapture readonly, float, i32, i1, i32, i1, float, float, i32) local_unnamed_addr #2"
air.sample_texture_1d_array.s,1,"declare { <4 x i32>, i8 } @air.sample_texture_1d_array.s.v4i32(ptr addrspace(1) nocapture readonly, ptr addrspace(2) nocapture readonly, float, i32, i1, i32, i1, float, float, i32) local_unnamed_addr #2"
air.sample_texture_1d_array.u,1,"declare { <4 x i32>, i8 } @air.sample_texture_1d_array.u.v4i32(ptr addrspace(1) nocapture readonly, ptr addrspace(2) nocapture readonly, float, i32, i1, i32, i1, float, float, i32) local_unnamed_addr #2"
air.sample_texture_2d,2,"declare { <4 x float>, i8 } @air.sample_texture_2d.v4f32(ptr addrspace(1) nocapture readonly, ptr addrspace(2) nocapture readonly, <2 x float>, i1, <2 x i32>, i1, float, float, i32) local_unnamed_addr #2"
air.sample_texture_2d.s,1,"declare { <4 x i32>, i8 } @air.sample_texture_2d.s.v4i32(ptr addrspace(1) nocapture readonly, ptr addrspace(2) nocapture readonly, <2 x float>, i1, <2 x i32>, i1, float, float, i32) local_unnamed_addr #2"
air.sample_texture_2d.u,1,"declare { <4 x i32>, i8 } @air.sample_texture_2d.u.v4i32(ptr addrspace(1) nocapture readonly, ptr addrspace(2) nocapture readonly, <2 x float>, i1, <2 x i32>, i1, float, float, i32) local_unnamed_addr #2"
air.sample_texture_2d_array,2,"declare { <4 x float>, i8 } @air.sample_texture_2d_array.v4f32(ptr addrspace(1) nocapture readonly, ptr addrspace(2) nocapture readonly, <2 x float>, i32, i1, <2 x i32>, i1, float, float, i32) local_unnamed_addr #2"
air.sample_texture_2d_array.s,1,"declare { <4 x i32>, i8 } @air.sample_texture_2d_array.s.v4i32(ptr addrspace(1) nocapture readonly, ptr addrspace(2) nocapture readonly, <2 x float>, i32, i1, <2 x i32>, i1, float, float, i32) local_unnamed_addr #2"
air.sample_texture_2d_array.u,1,"declare { <4 x i32>, i8 } @air.sample_texture_2d_array.u.v4i32(ptr addrspace(1) nocapture readonly, ptr addrspace(2) nocapture readonly, <2 x float>, i32, i1, <2 x i32>, i1, float, float, i32) local_unnamed_addr #2"
air.sample_texture_3d,2,"declare { <4 x float>, i8 } @air.sample_texture_3d.v4f32(ptr addrspace(1) nocapture readonly, ptr addrspace(2) nocapture readonly, <3 x float>, i1, <3 x i32>, i1, float, float, i32) local_unnamed_addr #2"
air.sample_texture_3d.s,1,"declare { <4 x i32>, i8 } @air.sample_texture_3d.s.v4i32(ptr addrspace(1) nocapture readonly, ptr addrspace(2) nocapture readonly, <3 x float>, i1, <3 x i32>, i1, float, float, i32) local_unnamed_addr #2"
air.sample_texture_3d.u,1,"declare { <4 x i32>, i8 } @air.sample_texture_3d.u.v4i32(ptr addrspace(1) nocapture readonly, ptr addrspace(2) nocapture readonly, <3 x float>, i1, <3 x i32>, i1, float, float, i32) local_unnamed_addr #2"
air.shuffle,48,"declare <16 x double> @air.shuffle.v16f64.v16f64.v16i64(<16 x double>, <16 x i64>) local_unnamed_addr #1"
air.shuffle.s,64,"declare <16 x i16> @air.shuffle.s.v16i16.v16i16.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.shuffle.u,64,"declare <16 x i16> @air.shuffle.u.v16i16.v16i16.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.shuffle2,48,"declare <16 x double> @air.shuffle2.v16f64.v16f64.v16i64(<16 x double>, <16 x double>, <16 x i64>) local_unnamed_addr #1"
air.shuffle2.s,64,"declare <16 x i16> @air.shuffle2.s.v16i16.v16i16.v16i16(<16 x i16>, <16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.shuffle2.u,64,"declare <16 x i16> @air.shuffle2.u.v16i16.v16i16.v16i16(<16 x i16>, <16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.sign,18,declare <16 x double> @air.sign.v16f64(<16 x double>) local_unnamed_addr #1
air.sin,18,declare <16 x double> @air.sin.v16f64(<16 x double>) local_unnamed_addr #1
air.sincos,30,"declare <16 x double> @air.sincos.v16f64(<16 x double>, ptr nocapture writeonly) local_unnamed_addr #50"
air.sinh,18,declare <16 x double> @air.sinh.v16f64(<16 x double>) local_unnamed_addr #1
air.sinpi,18,declare <16 x double> @air.sinpi.v16f64(<16 x double>) local_unnamed_addr #1
air.sqrt,21,declare <16 x double> @air.sqrt.v16f64(<16 x double>) local_unnamed_addr #1
air.store.system_coherent.volatile,2,"declare void @air.store.system_coherent.volatile.i8.p1i8(i8, ptr addrspace(1) noundef) local_unnamed_addr #1"
air.sub_sat.s,24,"declare <16 x i16> @air.sub_sat.s.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.sub_sat.u,24,"declare <16 x i16> @air.sub_sat.u.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.tan,18,declare <16 x double> @air.tan.v16f64(<16 x double>) local_unnamed_addr #1
air.tanh,18,declare <16 x double> @air.tanh.v16f64(<16 x double>) local_unnamed_addr #1
air.tanpi,18,declare <16 x double> @air.tanpi.v16f64(<16 x double>) local_unnamed_addr #1
air.tgamma,18,declare <16 x double> @air.tgamma.v16f64(<16 x double>) local_unnamed_addr #1
air.trunc,18,declare <16 x double> @air.trunc.v16f64(<16 x double>) local_unnamed_addr #1
air.vload.constant,35,"declare <16 x double> @air.vload.constant.v16f64(i64, ptr addrspace(2) nocapture readonly) local_unnamed_addr #1"
air.vload.global,35,"declare <16 x double> @air.vload.global.v16f64(i64, ptr addrspace(1) nocapture readonly) local_unnamed_addr #1"
air.vload.local,35,"declare <16 x double> @air.vload.local.v16f64(i64, ptr addrspace(3) nocapture readonly) local_unnamed_addr #1"
air.vload.private,35,"declare <16 x double> @air.vload.private.v16f64(i64, ptr nocapture readonly) local_unnamed_addr #1"
air.vload_half.constant,6,"declare <16 x float> @air.vload_half.constant.v16f32(i64, ptr addrspace(2) nocapture readonly) local_unnamed_addr #1"
air.vload_half.global,6,"declare <16 x float> @air.vload_half.global.v16f32(i64, ptr addrspace(1) nocapture readonly) local_unnamed_addr #1"
air.vload_half.local,6,"declare <16 x float> @air.vload_half.local.v16f32(i64, ptr addrspace(3) nocapture readonly) local_unnamed_addr #1"
air.vload_half.private,6,"declare <16 x float> @air.vload_half.private.v16f32(i64, ptr nocapture readonly) local_unnamed_addr #1"
air.vloada_half.constant,6,"declare <16 x float> @air.vloada_half.constant.v16f32(i64, ptr addrspace(2) nocapture readonly) local_unnamed_addr #1"
air.vloada_half.global,6,"declare <16 x float> @air.vloada_half.global.v16f32(i64, ptr addrspace(1) nocapture readonly) local_unnamed_addr #1"
air.vloada_half.local,6,"declare <16 x float> @air.vloada_half.local.v16f32(i64, ptr addrspace(3) nocapture readonly) local_unnamed_addr #1"
air.vloada_half.private,6,"declare <16 x float> @air.vloada_half.private.v16f32(i64, ptr nocapture readonly) local_unnamed_addr #1"
air.vprintf,1,"declare i32 @air.vprintf(ptr addrspace(2), ptr) local_unnamed_addr #1"
air.vstore.global,35,"declare void @air.vstore.global.v16f16(<16 x half>, i64, ptr addrspace(1) nocapture writeonly) local_unnamed_addr #24"
air.vstore.local,35,"declare void @air.vstore.local.v16f16(<16 x half>, i64, ptr addrspace(3) nocapture writeonly) local_unnamed_addr #24"
air.vstore.private,35,"declare void @air.vstore.private.v16f16(<16 x half>, i64, ptr nocapture writeonly) local_unnamed_addr #24"
air.vstore_half.global,48,"declare void @air.vstore_half.global.rte.f32(float, i64, ptr addrspace(1) nocapture writeonly) local_unnamed_addr #24"
air.vstore_half.local,48,"declare void @air.vstore_half.local.rte.f32(float, i64, ptr addrspace(3) nocapture writeonly) local_unnamed_addr #24"
air.vstore_half.private,48,"declare void @air.vstore_half.private.rte.f32(float, i64, ptr nocapture writeonly) local_unnamed_addr #24"
air.vstorea_half.global,48,"declare void @air.vstorea_half.global.rte.f32(float, i64, ptr addrspace(1) nocapture writeonly) local_unnamed_addr #24"
air.vstorea_half.local,48,"declare void @air.vstorea_half.local.rte.f32(float, i64, ptr addrspace(3) nocapture writeonly) local_unnamed_addr #24"
air.vstorea_half.private,48,"declare void @air.vstorea_half.private.rte.f32(float, i64, ptr nocapture writeonly) local_unnamed_addr #24"
air.wait_wg_events,1,"declare void @air.wait_wg_events(i32, ptr) local_unnamed_addr #1"
air.wg.barrier,2,"declare void @air.wg.barrier(i32, i32) local_unnamed_addr #1"
air.write_depth_2d,1,"declare void @air.write_depth_2d.f32(ptr addrspace(1) nocapture, <2 x i32>, float, i32, i32) local_unnamed_addr #8"
air.write_depth_2d_array,1,"declare void @air.write_depth_2d_array.f32(ptr addrspace(1) nocapture, <2 x i32>, i32, float, i32, i32) local_unnamed_addr #8"
air.write_texture_1d,2,"declare void @air.write_texture_1d.v4f16(ptr addrspace(1) nocapture, i32, <4 x half>, i32, i32) local_unnamed_addr #8"
air.write_texture_1d.s,1,"declare void @air.write_texture_1d.s.v4i32(ptr addrspace(1) nocapture, i32, <4 x i32>, i32, i32) local_unnamed_addr #8"
air.write_texture_1d.u,1,"declare void @air.write_texture_1d.u.v4i32(ptr addrspace(1) nocapture, i32, <4 x i32>, i32, i32) local_unnamed_addr #8"
air.write_texture_1d_array,2,"declare void @air.write_texture_1d_array.v4f16(ptr addrspace(1) nocapture, i32, i32, <4 x half>, i32, i32) local_unnamed_addr #8"
air.write_texture_1d_array.s,1,"declare void @air.write_texture_1d_array.s.v4i32(ptr addrspace(1) nocapture, i32, i32, <4 x i32>, i32, i32) local_unnamed_addr #8"
air.write_texture_1d_array.u,1,"declare void @air.write_texture_1d_array.u.v4i32(ptr addrspace(1) nocapture, i32, i32, <4 x i32>, i32, i32) local_unnamed_addr #8"
air.write_texture_2d,2,"declare void @air.write_texture_2d.v4f16(ptr addrspace(1) nocapture, <2 x i32>, <4 x half>, i32, i32) local_unnamed_addr #8"
air.write_texture_2d.s,1,"declare void @air.write_texture_2d.s.v4i32(ptr addrspace(1) nocapture, <2 x i32>, <4 x i32>, i32, i32) local_unnamed_addr #8"
air.write_texture_2d.u,1,"declare void @air.write_texture_2d.u.v4i32(ptr addrspace(1) nocapture, <2 x i32>, <4 x i32>, i32, i32) local_unnamed_addr #8"
air.write_texture_2d_array,2,"declare void @air.write_texture_2d_array.v4f16(ptr addrspace(1) nocapture, <2 x i32>, i32, <4 x half>, i32, i32) local_unnamed_addr #8"
air.write_texture_2d_array.s,1,"declare void @air.write_texture_2d_array.s.v4i32(ptr addrspace(1) nocapture, <2 x i32>, i32, <4 x i32>, i32, i32) local_unnamed_addr #8"
air.write_texture_2d_array.u,1,"declare void @air.write_texture_2d_array.u.v4i32(ptr addrspace(1) nocapture, <2 x i32>, i32, <4 x i32>, i32, i32) local_unnamed_addr #8"
air.write_texture_3d,2,"declare void @air.write_texture_3d.v4f16(ptr addrspace(1) nocapture, <3 x i32>, <4 x half>, i32, i32) local_unnamed_addr #8"
air.write_texture_3d.s,1,"declare void @air.write_texture_3d.s.v4i32(ptr addrspace(1) nocapture, <3 x i32>, <4 x i32>, i32, i32) local_unnamed_addr #8"
air.write_texture_3d.u,1,"declare void @air.write_texture_3d.u.v4i32(ptr addrspace(1) nocapture, <3 x i32>, <4 x i32>, i32, i32) local_unnamed_addr #8"
air.write_texture_buffer_1d,2,"declare void @air.write_texture_buffer_1d.v4f16(ptr addrspace(1) nocapture, i32, <4 x half>, i32) local_unnamed_addr #8"
air.write_texture_buffer_1d.s,1,"declare void @air.write_texture_buffer_1d.s.v4i32(ptr addrspace(1) nocapture, i32, <4 x i32>, i32) local_unnamed_addr #8"
air.write_texture_buffer_1d.u,1,"declare void @air.write_texture_buffer_1d.u.v4i32(ptr addrspace(1) nocapture, i32, <4 x i32>, i32) local_unnamed_addr #8"
