air_op_stem,n_declares,example_declare
air.atomic.local.min.s,1,"declare i32 @air.atomic.local.min.s.i32(ptr addrspace(3) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.local.min.u,1,"declare i32 @air.atomic.local.min.u.i32(ptr addrspace(3) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.local.or.s,1,"declare i32 @air.atomic.local.or.s.i32(ptr addrspace(3) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.local.or.u,1,"declare i32 @air.atomic.local.or.u.i32(ptr addrspace(3) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.local.sub.s,1,"declare i32 @air.atomic.local.sub.s.i32(ptr addrspace(3) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.local.sub.u,1,"declare i32 @air.atomic.local.sub.u.i32(ptr addrspace(3) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.local.xchg,1,"declare i32 @air.atomic.local.xchg.i32(ptr addrspace(3) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.local.xor.s,1,"declare i32 @air.atomic.local.xor.s.i32(ptr addrspace(3) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.local.xor.u,1,"declare i32 @air.atomic.local.xor.u.i32(ptr addrspace(3) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.cbrt,18,declare <16 x double> @air.cbrt.v16f64(<16 x double>) local_unnamed_addr #1
air.ceil,18,declare <16 x double> @air.ceil.v16f64(<16 x double>) local_unnamed_addr #1
air.clamp,18,"declare <16 x double> @air.clamp.v16f64(<16 x double>, <16 x double>, <16 x double>) local_unnamed_addr #1"
air.clamp.s,24,"declare <16 x i16> @air.clamp.s.v16i16(<16 x i16>, <16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.clamp.u,24,"declare <16 x i16> @air.clamp.u.v16i16(<16 x i16>, <16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.clz,24,"declare <16 x i16> @air.clz.v16i16(<16 x i16>, i1) local_unnamed_addr #1"
air.convert.f.f,144,declare <16 x double> @air.convert.f.v16f64.f.v16f16.rte(<16 x half>) local_unnamed_addr #2
air.convert.f.s,291,declare <16 x double> @air.convert.f.v16f64.s.v16i16.rte(<16 x i16>) local_unnamed_addr #2
air.convert.f.u,307,declare <16 x double> @air.convert.f.v16f64.u.v16i1(<16 x i1>) local_unnamed_addr #1
air.convert.s.f,289,declare <16 x i16> @air.convert.s.v16i16.f.v16f16.rte(<16 x half>) local_unnamed_addr #2
air.convert.s.f.sat,288,declare <16 x i16> @air.convert.s.v16i16.f.v16f16.rte.sat(<16 x half>) local_unnamed_addr #2
air.convert.s.s,303,declare <16 x i16> @air.convert.s.v16i16.s.v16i32.rte(<16 x i32>) local_unnamed_addr #2
air.convert.s.s.sat,288,declare <16 x i16> @air.convert.s.v16i16.s.v16i32.rte.sat(<16 x i32>) local_unnamed_addr #2
air.convert.s.u,399,declare <16 x i16> @air.convert.s.v16i16.u.v16i16.rte(<16 x i16>) local_unnamed_addr #2
air.convert.s.u.sat,384,declare <16 x i16> @air.convert.s.v16i16.u.v16i16.rte.sat(<16 x i16>) local_unnamed_addr #2
air.convert.u.f,289,declare <16 x i16> @air.convert.u.v16i16.f.v16f16.rte(<16 x half>) local_unnamed_addr #2
air.convert.u.f.sat,288,declare <16 x i16> @air.convert.u.v16i16.f.v16f16.rte.sat(<16 x half>) local_unnamed_addr #2
air.convert.u.s,393,declare <16 x i16> @air.convert.u.v16i16.s.v16i16.rte(<16 x i16>) local_unnamed_addr #2
air.convert.u.s.sat,384,declare <16 x i16> @air.convert.u.v16i16.s.v16i16.rte.sat(<16 x i16>) local_unnamed_addr #2
air.convert.u.u,303,declare <16 x i16> @air.convert.u.v16i16.u.v16i32.rte(<16 x i32>) local_unnamed_addr #2
air.convert.u.u.sat,288,declare <16 x i16> @air.convert.u.v16i16.u.v16i32.rte.sat(<16 x i32>) local_unnamed_addr #2
air.cos,18,declare <16 x double> @air.cos.v16f64(<16 x double>) local_unnamed_addr #1
air.cosh,18,declare <16 x double> @air.cosh.v16f64(<16 x double>) local_unnamed_addr #1
air.cospi,18,declare <16 x double> @air.cospi.v16f64(<16 x double>) local_unnamed_addr #1
air.ctz,1,"declare i32 @air.ctz.i32(i32, i1) local_unnamed_addr #1"
air.dot,14,"declare double @air.dot.f64(double, double) local_unnamed_addr #8"
air.erf,18,declare <16 x double> @air.erf.v16f64(<16 x double>) local_unnamed_addr #1
air.erfc,18,declare <16 x double> @air.erfc.v16f64(<16 x double>) local_unnamed_addr #1
air.exp,18,declare <16 x double> @air.exp.v16f64(<16 x double>) local_unnamed_addr #1
air.exp10,18,declare <16 x double> @air.exp10.v16f64(<16 x double>) local_unnamed_addr #1
air.exp2,18,declare <16 x double> @air.exp2.v16f64(<16 x double>) local_unnamed_addr #1
air.expm1,18,declare <16 x double> @air.expm1.v16f64(<16 x double>) local_unnamed_addr #1
air.fabs,18,declare <16 x double> @air.fabs.v16f64(<16 x double>) local_unnamed_addr #1
air.fast_acos,6,declare <16 x float> @air.fast_acos.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_acosh,6,declare <16 x float> @air.fast_acosh.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_asin,6,declare <16 x float> @air.fast_asin.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_asinh,6,declare <16 x float> @air.fast_asinh.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_atan,6,declare <16 x float> @air.fast_atan.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_atan2,6,"declare <16 x float> @air.fast_atan2.v16f32(<16 x float>, <16 x float>) local_unnamed_addr #1"
air.fast_atanh,6,declare <16 x float> @air.fast_atanh.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_ceil,6,declare <16 x float> @air.fast_ceil.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_clamp,1,"declare float @air.fast_clamp.f32(float, float, float) local_unnamed_addr #1"
air.fast_cos,6,declare <16 x float> @air.fast_cos.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_cosh,6,declare <16 x float> @air.fast_cosh.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_cospi,6,declare <16 x float> @air.fast_cospi.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_exp,6,declare <16 x float> @air.fast_exp.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_exp10,6,declare <16 x float> @air.fast_exp10.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_exp2,6,declare <16 x float> @air.fast_exp2.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_fabs,7,declare <16 x float> @air.fast_fabs.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_floor,6,declare <16 x float> @air.fast_floor.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_fmax,7,"declare <16 x float> @air.fast_fmax.v16f32(<16 x float>, <16 x float>) local_unnamed_addr #1"
air.fast_fmin,7,"declare <16 x float> @air.fast_fmin.v16f32(<16 x float>, <16 x float>) local_unnamed_addr #1"
air.fast_fmod,6,"declare <16 x float> @air.fast_fmod.v16f32(<16 x float>, <16 x float>) local_unnamed_addr #1"
air.fast_fract,7,declare <16 x float> @air.fast_fract.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_ldexp,6,"declare <16 x float> @air.fast_ldexp.v16f32(<16 x float>, <16 x i32>) local_unnamed_addr #1"
air.fast_log,6,declare <16 x float> @air.fast_log.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_log10,6,declare <16 x float> @air.fast_log10.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_log2,6,declare <16 x float> @air.fast_log2.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_pow,6,"declare <16 x float> @air.fast_pow.v16f32(<16 x float>, <16 x float>) local_unnamed_addr #1"
air.fast_powr,6,"declare <16 x float> @air.fast_powr.v16f32(<16 x float>, <16 x float>) local_unnamed_addr #1"
air.fast_rint,6,declare <16 x float> @air.fast_rint.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_round,6,declare <16 x float> @air.fast_round.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_rsqrt,6,declare <16 x float> @air.fast_rsqrt.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_saturate,1,declare float @air.fast_saturate.f32(float) local_unnamed_addr #1
air.fast_sin,6,declare <16 x float> @air.fast_sin.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_sincos,6,"declare <16 x float> @air.fast_sincos.v16f32(<16 x float>, ptr nocapture writeonly) local_unnamed_addr #56"
air.fast_sinh,6,declare <16 x float> @air.fast_sinh.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_sinpi,6,declare <16 x float> @air.fast_sinpi.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_sqrt,6,declare <16 x float> @air.fast_sqrt.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_tan,6,declare <16 x float> @air.fast_tan.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_tanh,6,declare <16 x float> @air.fast_tanh.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_tanpi,6,declare <16 x float> @air.fast_tanpi.v16f32(<16 x float>) local_unnamed_addr #1
air.fast_trunc,6,declare <16 x float> @air.fast_trunc.v16f32(<16 x float>) local_unnamed_addr #1
air.floor,21,declare <16 x double> @air.floor.v16f64(<16 x double>) local_unnamed_addr #1
air.fma,19,"declare <16 x double> @air.fma.v16f64(<16 x double>, <16 x double>, <16 x double>) local_unnamed_addr #1"
air.fmax,18,"declare <16 x double> @air.fmax.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1"
air.fmin,21,"declare <16 x double> @air.fmin.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1"
air.fmod,18,"declare <16 x double> @air.fmod.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1"
air.fract,19,declare <16 x double> @air.fract.v16f64(<16 x double>) local_unnamed_addr #1
air.get_array_size_depth_2d_array,1,declare i32 @air.get_array_size_depth_2d_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_array_size_depth_2d_ms_array,1,declare i32 @air.get_array_size_depth_2d_ms_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_array_size_texture_1d_array,1,declare i32 @air.get_array_size_texture_1d_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_array_size_texture_2d_array,1,declare i32 @air.get_array_size_texture_2d_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_array_size_texture_2d_ms_array,1,declare i32 @air.get_array_size_texture_2d_ms_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_data_type_depth_2d,1,declare i32 @air.get_channel_data_type_depth_2d(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_data_type_depth_2d_array,1,declare i32 @air.get_channel_data_type_depth_2d_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_data_type_depth_2d_ms,1,declare i32 @air.get_channel_data_type_depth_2d_ms(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_data_type_depth_2d_ms_array,1,declare i32 @air.get_channel_data_type_depth_2d_ms_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_data_type_texture_1d,1,declare i32 @air.get_channel_data_type_texture_1d(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
