air_intrinsic_declare,n_os,os_list,example_module
declare <2 x i64> @air.convert.s.v2i64.s.v2i16.rtp.sat(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i16.rtz(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i16.rtz.sat(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i32(<2 x i32>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!integer.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i32.rte(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i32.rte.sat(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i32.rtn(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i32.rtn.sat(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i32.rtp(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i32.rtp.sat(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i32.rtz(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i32.rtz.sat(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i8.rte(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i8.rte.sat(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i8.rtn(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i8.rtn.sat(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i8.rtp(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i8.rtp.sat(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i8.rtz(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.s.v2i8.rtz.sat(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i16.rte(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i16.rte.sat(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i16.rtn(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i16.rtn.sat(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i16.rtp(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i16.rtp.sat(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i16.rtz(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i16.rtz.sat(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i32(<2 x i32>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!integer.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i32.rte(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i32.rte.sat(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i32.rtn(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i32.rtn.sat(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i32.rtp(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i32.rtp.sat(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i32.rtz(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i32.rtz.sat(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i64.rte(<2 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i64.rte.sat(<2 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i64.rtn(<2 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i64.rtn.sat(<2 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i64.rtp(<2 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i64.rtp.sat(<2 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i64.rtz(<2 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i64.rtz.sat(<2 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i8.rte(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i8.rte.sat(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i8.rtn(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i8.rtn.sat(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i8.rtp(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i8.rtp.sat(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i8.rtz(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.s.v2i64.u.v2i8.rtz.sat(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f16.rte(<2 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f16.rte.sat(<2 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f16.rtn(<2 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f16.rtn.sat(<2 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f16.rtp(<2 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f16.rtp.sat(<2 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f16.rtz(<2 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f16.rtz.sat(<2 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f32.rte(<2 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f32.rte.sat(<2 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f32.rtn(<2 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f32.rtn.sat(<2 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f32.rtp(<2 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f32.rtp.sat(<2 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f32.rtz(<2 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f32.rtz.sat(<2 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f64.rte(<2 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f64.rte.sat(<2 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f64.rtn(<2 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f64.rtn.sat(<2 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f64.rtp(<2 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f64.rtp.sat(<2 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f64.rtz(<2 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.f.v2f64.rtz.sat(<2 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i16.rte(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i16.rte.sat(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i16.rtn(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i16.rtn.sat(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i16.rtp(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i16.rtp.sat(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i16.rtz(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i16.rtz.sat(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i32.rte(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i32.rte.sat(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i32.rtn(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i32.rtn.sat(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i32.rtp(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i32.rtp.sat(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i32.rtz(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i32.rtz.sat(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i64.rte(<2 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i64.rte.sat(<2 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i64.rtn(<2 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i64.rtn.sat(<2 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i64.rtp(<2 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i64.rtp.sat(<2 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i64.rtz(<2 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i64.rtz.sat(<2 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i8.rte(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i8.rte.sat(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i8.rtn(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i8.rtn.sat(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i8.rtp(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i8.rtp.sat(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i8.rtz(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.s.v2i8.rtz.sat(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i16.rte(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i16.rte.sat(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i16.rtn(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i16.rtn.sat(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i16.rtp(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i16.rtp.sat(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i16.rtz(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i16.rtz.sat(<2 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i32(<2 x i32>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!integer.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i32.rte(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i32.rte.sat(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i32.rtn(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i32.rtn.sat(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i32.rtp(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i32.rtp.sat(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i32.rtz(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i32.rtz.sat(<2 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i8.rte(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i8.rte.sat(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i8.rtn(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i8.rtn.sat(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i8.rtp(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i8.rtp.sat(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i8.rtz(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <2 x i64> @air.convert.u.v2i64.u.v2i8.rtz.sat(<2 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
"declare <2 x i64> @air.hadd.s.v2i64(<2 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <2 x i64> @air.hadd.u.v2i64(<2 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <2 x i64> @air.mad_hi.s.v2i64(<2 x i64>, <2 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <2 x i64> @air.mad_hi.u.v2i64(<2 x i64>, <2 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <2 x i64> @air.mad_sat.s.v2i64(<2 x i64>, <2 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <2 x i64> @air.mad_sat.u.v2i64(<2 x i64>, <2 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <2 x i64> @air.max.s.v2i64(<2 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <2 x i64> @air.max.u.v2i64(<2 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <2 x i64> @air.min.s.v2i64(<2 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <2 x i64> @air.min.u.v2i64(<2 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <2 x i64> @air.mul_hi.s.v2i64(<2 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <2 x i64> @air.mul_hi.u.v2i64(<2 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
declare <2 x i64> @air.popcount.v2i64(<2 x i64>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <2 x i64> @air.rhadd.s.v2i64(<2 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <2 x i64> @air.rhadd.u.v2i64(<2 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <2 x i64> @air.rotate.v2i64(<2 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <2 x i64> @air.shuffle.s.v2i64.v16i64.v2i64(<16 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <2 x i64> @air.shuffle.s.v2i64.v2i64.v2i64(<2 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <2 x i64> @air.shuffle.s.v2i64.v4i64.v2i64(<4 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <2 x i64> @air.shuffle.s.v2i64.v8i64.v2i64(<8 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <2 x i64> @air.shuffle.u.v2i64.v16i64.v2i64(<16 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <2 x i64> @air.shuffle.u.v2i64.v2i64.v2i64(<2 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <2 x i64> @air.shuffle.u.v2i64.v4i64.v2i64(<4 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <2 x i64> @air.shuffle.u.v2i64.v8i64.v2i64(<8 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <2 x i64> @air.shuffle2.s.v2i64.v16i64.v2i64(<16 x i64>, <16 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <2 x i64> @air.shuffle2.s.v2i64.v2i64.v2i64(<2 x i64>, <2 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <2 x i64> @air.shuffle2.s.v2i64.v4i64.v2i64(<4 x i64>, <4 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <2 x i64> @air.shuffle2.s.v2i64.v8i64.v2i64(<8 x i64>, <8 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <2 x i64> @air.shuffle2.u.v2i64.v16i64.v2i64(<16 x i64>, <16 x i64>, <2 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
