air_intrinsic_declare,n_os,os_list,example_module
declare <16 x double> @air.convert.f.v16f64.u.v16i16.rtp(<16 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.u.v16i16.rtz(<16 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.u.v16i32.rte(<16 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.u.v16i32.rtn(<16 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.u.v16i32.rtp(<16 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.u.v16i32.rtz(<16 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.u.v16i64.rte(<16 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.u.v16i64.rtn(<16 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.u.v16i64.rtp(<16 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.u.v16i64.rtz(<16 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.u.v16i8.rte(<16 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.u.v16i8.rtn(<16 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.u.v16i8.rtp(<16 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.u.v16i8.rtz(<16 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.cos.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.cosh.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.cospi.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.erf.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.erfc.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.exp.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.exp10.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.exp2.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.expm1.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.fabs.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.floor.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.fma.v16f64(<16 x double>, <16 x double>, <16 x double>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!math-default.metal.air
