air_name_or_rule,kind,context_method,file,line
air.convert,literal,CreateConvertToHalf,nt/air_builder.cpp,1312
air.convert,literal,CreateConvertToSigned,nt/air_builder.cpp,1333
air.convert,literal,CreateConvertToUnsigned,nt/air_builder.cpp,1354
air.convert,name_rule,CreateConvertToFloat,nt/air_builder.cpp,1291
air.convert,name_rule,CreateConvertToHalf,nt/air_builder.cpp,1312
air.convert,name_rule,CreateConvertToSigned,nt/air_builder.cpp,1333
air.convert,name_rule,CreateConvertToUnsigned,nt/air_builder.cpp,1354
air.depth,literal,,air_signature.cpp,930
air.depth_qualifier,literal,,air_signature.cpp,931
air.discard_fragment,literal,CreateDiscard,nt/air_builder.cpp,1123
air.dot,literal,CreateDotProduct,nt/air_builder.cpp,1245
air.dot,name_rule,CreateDotProduct,nt/air_builder.cpp,1245
air.fence_,literal,CreateTextureFence,nt/air_builder.cpp,1056
air.fence_,name_rule,CreateTextureFence,nt/air_builder.cpp,1056
air.flat,literal,,air_signature.cpp,356
air.fma,literal,CreateFMA,nt/air_builder.cpp,1206
air.fma,name_rule,CreateFMA,nt/air_builder.cpp,1206
air.fragment,literal,SM50GetErrorMessageString,dxbc_converter.cpp,386
air.fragment,literal,readCondition,metallib_writer.cpp,161
air.fragment_input,literal,,air_signature.cpp,658
air.front_facing,literal,,air_signature.cpp,700
air.gather_,literal,CreateGather,nt/air_builder.cpp,831
air.gather_,name_rule,CreateGather,nt/air_builder.cpp,831
air.gather_compare_,literal,CreateGatherCompare,nt/air_builder.cpp,915
air.gather_compare_ .f32,name_rule,CreateGatherCompare,nt/air_builder.cpp,915
air.get_num_samples.i32,literal,CreateGetNumSamples,nt/air_builder.cpp,1083
air.greater,literal,,air_signature.cpp,928
air.indirect_argument,literal,,air_signature.cpp,437
air.indirect_buffer,literal,,air_signature.cpp,222
air.indirect_constant,literal,,air_signature.cpp,393
air.instance_id,literal,,air_signature.cpp,788
air.interpolate_center_no_perspective.v4f32,literal,CreateInterpolateAtCenter,nt/air_builder.cpp,1426
air.interpolate_center_perspective.v4f32,literal,CreateInterpolateAtCenter,nt/air_builder.cpp,1426
air.interpolate_centroid_no_perspective.v4f32,literal,CreateInterpolateAtCentroid,nt/air_builder.cpp,1446
air.interpolate_centroid_perspective.v4f32,literal,CreateInterpolateAtCentroid,nt/air_builder.cpp,1446
air.interpolate_offset_no_perspective.v4f32,literal,CreateInterpolateAtOffset,nt/air_builder.cpp,1485
air.interpolate_offset_perspective.v4f32,literal,CreateInterpolateAtOffset,nt/air_builder.cpp,1485
air.interpolate_sample_no_perspective.v4f32,literal,CreateInterpolateAtSample,nt/air_builder.cpp,1465
air.interpolate_sample_perspective.v4f32,literal,CreateInterpolateAtSample,nt/air_builder.cpp,1465
air.interpolation_function,literal,,air_signature.cpp,323
air.interpolation_function,literal,,air_signature.cpp,328
air.invariant,literal,,air_signature.cpp,574
air.invariant,literal,,air_signature.cpp,919
air.kernel,literal,SM50GetErrorMessageString,dxbc_converter.cpp,489
air.kernel,literal,SanitizePosition,transforms/simdgroup_implicit_membarrier.cpp,15
air.kernel,literal,readCondition,metallib_writer.cpp,195
air.language_version,literal,SM50GetErrorMessageString,dxbc_converter.cpp,213
air.language_version,literal,linkShader,airconv_context.cpp,180
air.less,literal,,air_signature.cpp,928
air.line,literal,,air_signature.cpp,852
air.load.device_coherent,literal,CreateDeviceCoherentLoad,nt/air_builder.cpp,1379
air.load.device_coherent,name_rule,CreateDeviceCoherentLoad,nt/air_builder.cpp,1379
air.location_index,literal,,air_signature.cpp,173
air.location_index,literal,,air_signature.cpp,226
air.location_index,literal,,air_signature.cpp,272
air.location_index,literal,,air_signature.cpp,308
air.location_index,literal,,air_signature.cpp,394
air.location_index,literal,,air_signature.cpp,648
air.max_constant_buffers,literal,initializeModule,airconv_context.cpp,53
air.max_device_buffers,literal,initializeModule,airconv_context.cpp,52
air.max_mesh_work_groups,literal,,air_signature.cpp,1026
air.max_read_write_textures,literal,initializeModule,airconv_context.cpp,59
air.max_samplers,literal,initializeModule,airconv_context.cpp,61
air.max_textures,literal,initializeModule,airconv_context.cpp,57
air.max_threadgroup_buffers,literal,initializeModule,airconv_context.cpp,55
air.max_work_group_size,literal,,air_signature.cpp,1012
air.mesh,literal,,air_signature.cpp,862
air.mesh,literal,readCondition,metallib_writer.cpp,330
air.mesh,literal,readInstruction,dxbc_converter_gs.cpp,515
air.mesh,literal,readInstruction,dxbc_converter_ts.cpp,1052
air.mesh_grid_properties,literal,,air_signature.cpp,834
air.mesh_primitive_data,literal,,air_signature.cpp,608
air.mesh_type_info,literal,,air_signature.cpp,845
air.mesh_vertex_data,literal,,air_signature.cpp,564
air.no_perspective,literal,,air_signature.cpp,328
air.no_perspective,literal,,air_signature.cpp,341
air.no_perspective,literal,,air_signature.cpp,347
air.no_perspective,literal,,air_signature.cpp,353
air.object,literal,readCondition,metallib_writer.cpp,289
air.object,literal,readInstruction,dxbc_converter_gs.cpp,881
air.object,literal,readInstruction,dxbc_converter_ts.cpp,726
air.patch,literal,readCondition,metallib_writer.cpp,78
air.payload,literal,,air_signature.cpp,820
air.perspective,literal,,air_signature.cpp,323
air.perspective,literal,,air_signature.cpp,338
air.perspective,literal,,air_signature.cpp,344
air.perspective,literal,,air_signature.cpp,350
air.point,literal,,air_signature.cpp,858
air.point_size,literal,,air_signature.cpp,590
air.position,literal,,air_signature.cpp,573
air.position,literal,,air_signature.cpp,690
air.position,literal,,air_signature.cpp,918
air.primitive_id,literal,,air_signature.cpp,804
air.raster_order_group,literal,,air_signature.cpp,196
air.raster_order_group,literal,,air_signature.cpp,292
air.read,literal,,air_signature.cpp,179
air.read,literal,,air_signature.cpp,232
air.read,literal,,air_signature.cpp,278
air.read_,literal,CreateRead,nt/air_builder.cpp,684
air.read_ .device_coherent,name_rule,CreateRead,nt/air_builder.cpp,684
air.read_write,literal,,air_signature.cpp,185
air.read_write,literal,,air_signature.cpp,238
air.read_write,literal,,air_signature.cpp,284
air.render_target,literal,,air_signature.cpp,899
air.render_target,literal,,air_signature.cpp,908
air.render_target_array_index,literal,,air_signature.cpp,617
air.render_target_array_index,literal,,air_signature.cpp,716
air.render_target_array_index,literal,,air_signature.cpp,968
air.sample,literal,,air_signature.cpp,287
air.sample,literal,,air_signature.cpp,350
air.sample,literal,,air_signature.cpp,353
air.sample_,literal,CreateSampleCommon,nt/air_builder.cpp,414
air.sample_,literal,CreateSampleGrad,nt/air_builder.cpp,612
air.sample_,name_rule,CreateSampleCommon,nt/air_builder.cpp,414
air.sample_ _grad,name_rule,CreateSampleGrad,nt/air_builder.cpp,612
air.sample_compare_,literal,CreateSampleCmpCommon,nt/air_builder.cpp,506
air.sample_compare_,name_rule,CreateSampleCmpCommon,nt/air_builder.cpp,506
air.sample_id,literal,,air_signature.cpp,708
air.sample_mask,literal,,air_signature.cpp,940
air.sample_mask_in,literal,,air_signature.cpp,812
air.sampler,literal,,air_signature.cpp,307
air.set_clip_distance_mesh,literal,CreateSetMeshClipDistance,nt/air_builder.cpp,1576
air.set_index_mesh,literal,CreateSetMeshIndex,nt/air_builder.cpp,1636
air.set_point_size_mesh,literal,CreateSetMeshPointSize,nt/air_builder.cpp,1669
air.set_point_size_mesh,name_rule,CreateSetMeshPointSize,nt/air_builder.cpp,1669
air.set_position_mesh,literal,CreateSetMeshPosition,nt/air_builder.cpp,1558
air.set_primitive_count_mesh,literal,CreateSetMeshPrimitiveCount,nt/air_builder.cpp,1653
air.set_primitive_data_mesh,literal,CreateSetMeshPrimitiveData,nt/air_builder.cpp,1614
air.set_primitive_data_mesh,name_rule,CreateSetMeshPrimitiveData,nt/air_builder.cpp,1614
air.set_render_target_array_index_mesh.i32,literal,CreateSetMeshRenderTargetArrayIndex,nt/air_builder.cpp,1522
air.set_threadgroups_per_grid_mesh_properties,literal,CreateSetMeshProperties,nt/air_builder.cpp,1504
air.set_vertex_data_mesh,literal,CreateSetMeshVertexData,nt/air_builder.cpp,1593
air.set_vertex_data_mesh,name_rule,CreateSetMeshVertexData,nt/air_builder.cpp,1593
air.set_viewport_array_index_mesh.i32,literal,CreateSetMeshViewportArrayIndex,nt/air_builder.cpp,1540
air.simdgroup.barrier,literal,CreateBarrier,nt/air_builder.cpp,1146
air.source_file_name,literal,linkShader,airconv_context.cpp,181
air.stencil,literal,,air_signature.cpp,948
air.store.device_coherent,literal,CreateDeviceCoherentStore,nt/air_builder.cpp,1404
air.store.device_coherent,name_rule,CreateDeviceCoherentStore,nt/air_builder.cpp,1404
air.struct_type_info,literal,,air_signature.cpp,248
air.texture,literal,,air_signature.cpp,271
air.thread_index_in_threadgroup,literal,,air_signature.cpp,756
air.thread_position_in_grid,literal,,air_signature.cpp,740
air.thread_position_in_threadgroup,literal,,air_signature.cpp,748
air.threadgroup_position_in_grid,literal,,air_signature.cpp,732
air.threadgroups_per_grid,literal,,air_signature.cpp,764
air.triangle,literal,,air_signature.cpp,855
air.version,literal,SM50GetErrorMessageString,dxbc_converter.cpp,212
air.version,literal,linkShader,airconv_context.cpp,179
air.vertex,literal,SM50GetErrorMessageString,dxbc_converter.cpp,774
air.vertex,literal,readCondition,metallib_writer.cpp,42
air.vertex_id,literal,,air_signature.cpp,772
air.vertex_input,literal,,air_signature.cpp,647
air.vertex_input,literal,readCondition,metallib_writer.cpp,102
air.vertex_input,literal,readCondition,metallib_writer.cpp,231
air.vertex_output,literal,,air_signature.cpp,889
air.viewport_array_index,literal,,air_signature.cpp,624
air.viewport_array_index,literal,,air_signature.cpp,724
air.viewport_array_index,literal,,air_signature.cpp,976
air.wg.barrier,literal,CreateBarrier,nt/air_builder.cpp,1146
air.write,literal,,air_signature.cpp,182
air.write,literal,,air_signature.cpp,235
air.write,literal,,air_signature.cpp,281
air.write_,literal,CreateWrite,nt/air_builder.cpp,748
air.write_ .device_coherent,name_rule,CreateWrite,nt/air_builder.cpp,748
