cell,scene,air_candidate,stage1_source,probe_method
__metal_atomic_fetch_or_explicit_texture_2d_array_t,P06,air.atomic_fetch_or_explicit_texture_2d_array,manual_needed,"__bits/metal_texture2d_array:1582: return __metal_atomic_fetch_or_explicit_texture_2d_array_t(derived.t, coord, array, u"
__metal_atomic_fetch_or_explicit_texture_2d_t,P06,air.atomic_fetch_or_explicit_texture_2d,manual_needed,"__bits/metal_texture2d:1594: return __metal_atomic_fetch_or_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand,"
__metal_atomic_fetch_or_explicit_texture_3d_t,P06,air.atomic_fetch_or_explicit_texture_3d,manual_needed,"__bits/metal_texture3d:1480: return __metal_atomic_fetch_or_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand,"
__metal_atomic_fetch_or_explicit_texture_buffer_1d_t,P06,air.atomic_fetch_or_explicit_texture_buffer_1d,manual_needed,"__bits/metal_texture_buffer:577: return __metal_atomic_fetch_or_explicit_texture_buffer_1d_t(derived.t, coord, operand, "
__metal_atomic_fetch_or_explicit_texture_cube_array_t,P06,air.atomic_fetch_or_explicit_texture_cube_array,manual_needed,"__bits/metal_texturecube_array:1594: return __metal_atomic_fetch_or_explicit_texture_cube_array_t(derived.t, coord, face"
__metal_atomic_fetch_or_explicit_texture_cube_t,P06,air.atomic_fetch_or_explicit_texture_cube,manual_needed,"__bits/metal_texturecube:1597: return __metal_atomic_fetch_or_explicit_texture_cube_t(derived.t, coord, face, operand, _"
__metal_atomic_fetch_sub_explicit,P07,air.atomic.fetch.sub,manual_needed,"metal_atomic:597: return __metal_atomic_fetch_sub_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_TH"
__metal_atomic_fetch_sub_explicit_texture_1d_array_t,P06,air.atomic_fetch_sub_explicit_texture_1d_array,manual_needed,"__bits/metal_texture1d_array:1221: return __metal_atomic_fetch_sub_explicit_texture_1d_array_t(derived.t, coord, array, "
__metal_atomic_fetch_sub_explicit_texture_1d_t,P06,air.atomic_fetch_sub_explicit_texture_1d,manual_needed,"__bits/metal_texture1d:1221: return __metal_atomic_fetch_sub_explicit_texture_1d_t(derived.t, coord, operand, __METAL_ME"
__metal_atomic_fetch_sub_explicit_texture_2d_array_t,P06,air.atomic_fetch_sub_explicit_texture_2d_array,manual_needed,"__bits/metal_texture2d_array:1882: return __metal_atomic_fetch_sub_explicit_texture_2d_array_t(derived.t, coord, array, "
