msl_api_signature,namespace,guard,class,metal_builtins,clang_builtins,file,line
float abs(float x),metal,,builtin_direct,__metal_fabs,,metal_math,24
float acos(float x),metal,,builtin_direct,__metal_acos,,metal_math,28
float acosh(float x),metal,,builtin_direct,__metal_acosh,,metal_math,32
float asin(float x),metal,,builtin_direct,__metal_asin,,metal_math,36
float asinh(float x),metal,,builtin_direct,__metal_asinh,,metal_math,40
float atan(float y_over_x),metal,,builtin_direct,__metal_atan,,metal_math,44
"float atan2(float y, float x)",metal,,builtin_direct,__metal_atan2,,metal_math,48
float atanh(float x),metal,,builtin_direct,__metal_atanh,,metal_math,52
float ceil(float x),metal,,builtin_direct,__metal_ceil,,metal_math,56
"float copysign(float x, float y)",metal,,header_composed,,,metal_math,60
float cos(float x),metal,,builtin_direct,__metal_cos,,metal_math,69
float cosh(float x),metal,,builtin_direct,__metal_cosh,,metal_math,73
float cospi(float x),metal,__HAVE_TRIG_PI__,builtin_direct,__metal_cospi,,metal_math,78
"float divide(float x, float y)",metal,__HAVE_DIVIDE__,builtin_direct,__metal_divide,,metal_math,84
float exp(float x),metal,,builtin_direct,__metal_exp,,metal_math,89
float exp10(float x),metal,,builtin_direct,__metal_exp10,,metal_math,93
float exp2(float x),metal,,builtin_direct,__metal_exp2,,metal_math,97
float fabs(float x),metal,,builtin_direct,__metal_fabs,,metal_math,101
"float fdim(float x, float y)",metal,,builtin_direct,__metal_select,,metal_math,105
float floor(float x),metal,,builtin_direct,__metal_floor,,metal_math,111
"float fma(float x, float y, float z)",metal,__HAVE_FMA__,builtin_direct,__metal_fma,,metal_math,116
"float fmax(float x, float y)",metal,,builtin_direct,__metal_fmax,,metal_math,121
"float fmax3(float x, float y, float z)",metal,__HAVE_FMAX3__,builtin_direct,__metal_fmax3,,metal_math,126
"float fmedian3(float x, float y, float z)",metal,__HAVE_FMEDIAN3__,builtin_direct,__metal_fmedian3,,metal_math,132
"float fmin(float x, float y)",metal,,builtin_direct,__metal_fmin,,metal_math,137
"float fmin3(float x, float y, float z)",metal,__HAVE_FMIN3__,builtin_direct,__metal_fmin3,,metal_math,142
"float fmod(float x, float y)",metal,,builtin_direct,__metal_fmod,,metal_math,147
float fract(float x),metal,,builtin_direct,__metal_fract,,metal_math,151
"float frexp(float x, thread int &exp)",metal,,builtin_direct,__metal_frexp,,metal_math,155
int ilogb(float x),metal,,builtin_direct,__metal_ilogb,,metal_math,159
"float ldexp(float x, int k)",metal,,builtin_direct,__metal_ldexp,,metal_math,163
float log(float x),metal,,builtin_direct,__metal_log,,metal_math,167
float log10(float x),metal,,builtin_direct,__metal_log10,,metal_math,171
float log2(float x),metal,,builtin_direct,__metal_log2,,metal_math,175
"float max(float x, float y)",metal,,builtin_direct,__metal_fmax,,metal_math,179
"float max3(float x, float y, float z)",metal,__HAVE_MAX3__,builtin_direct,__metal_fmax3,,metal_math,184
"float median3(float x, float y, float z)",metal,__HAVE_MEDIAN3__,builtin_direct,__metal_fmedian3,,metal_math,190
"float min(float x, float y)",metal,,builtin_direct,__metal_fmin,,metal_math,195
"float min3(float x, float y, float z)",metal,__HAVE_MIN3__,builtin_direct,__metal_fmin3,,metal_math,200
"float modf(float x, thread float &intval)",metal,,builtin_composed,__metal_select __metal_trunc,,metal_math,205
"float nextafter(float x, float y)",metal,__HAVE_NEXTAFTER__,builtin_direct,__metal_nextafter,,metal_math,212
"float pow(float x, float y)",metal,,builtin_direct,__metal_pow,,metal_math,217
"float powr(float x, float y)",metal,,builtin_direct,__metal_powr,,metal_math,221
float rint(float x),metal,,builtin_direct,__metal_rint,,metal_math,225
float round(float x),metal,,builtin_direct,__metal_round,,metal_math,229
float rsqrt(float x),metal,,builtin_direct,__metal_rsqrt,,metal_math,233
float sin(float x),metal,,builtin_direct,__metal_sin,,metal_math,237
"float sincos(float x, thread float &cosval)",metal,,builtin_direct,__metal_sincos,,metal_math,241
float sinh(float x),metal,,builtin_direct,__metal_sinh,,metal_math,245
float sinpi(float x),metal,__HAVE_TRIG_PI__,builtin_direct,__metal_sinpi,,metal_math,250
float sqrt(float x),metal,,builtin_direct,__metal_sqrt,,metal_math,255
float tan(float x),metal,,builtin_direct,__metal_tan,,metal_math,259
float tanh(float x),metal,,builtin_direct,__metal_tanh,,metal_math,263
float tanpi(float x),metal,__HAVE_TRIG_PI__,builtin_direct,__metal_tanpi,,metal_math,268
float trunc(float x),metal,,builtin_direct,__metal_trunc,,metal_math,273
float2 abs(float2 x),metal,,builtin_direct,__metal_fabs,,metal_math,277
float2 acos(float2 x),metal,,builtin_direct,__metal_acos,,metal_math,281
float2 acosh(float2 x),metal,,builtin_direct,__metal_acosh,,metal_math,285
float2 asin(float2 x),metal,,builtin_direct,__metal_asin,,metal_math,289
float2 asinh(float2 x),metal,,builtin_direct,__metal_asinh,,metal_math,293
float2 atan(float2 y_over_x),metal,,builtin_direct,__metal_atan,,metal_math,297
"float2 atan2(float2 y, float2 x)",metal,,builtin_direct,__metal_atan2,,metal_math,301
float2 atanh(float2 x),metal,,builtin_direct,__metal_atanh,,metal_math,305
float2 ceil(float2 x),metal,,builtin_direct,__metal_ceil,,metal_math,309
"float2 copysign(float2 x, float2 y)",metal,,header_composed,,,metal_math,313
float2 cos(float2 x),metal,,builtin_direct,__metal_cos,,metal_math,322
float2 cosh(float2 x),metal,,builtin_direct,__metal_cosh,,metal_math,326
float2 cospi(float2 x),metal,__HAVE_TRIG_PI__,builtin_direct,__metal_cospi,,metal_math,331
"float2 divide(float2 x, float2 y)",metal,__HAVE_DIVIDE__,builtin_direct,__metal_divide,,metal_math,337
float2 exp(float2 x),metal,,builtin_direct,__metal_exp,,metal_math,342
float2 exp10(float2 x),metal,,builtin_direct,__metal_exp10,,metal_math,346
float2 exp2(float2 x),metal,,builtin_direct,__metal_exp2,,metal_math,350
float2 fabs(float2 x),metal,,builtin_direct,__metal_fabs,,metal_math,354
"float2 fdim(float2 x, float2 y)",metal,,builtin_direct,__metal_select,,metal_math,358
float2 floor(float2 x),metal,,builtin_direct,__metal_floor,,metal_math,364
"float2 fma(float2 x, float2 y, float2 z)",metal,__HAVE_FMA__,builtin_direct,__metal_fma,,metal_math,369
"float2 fmax(float2 x, float2 y)",metal,,builtin_direct,__metal_fmax,,metal_math,374
"float2 fmax3(float2 x, float2 y, float2 z)",metal,__HAVE_FMAX3__,builtin_direct,__metal_fmax3,,metal_math,379
"float2 fmedian3(float2 x, float2 y, float2 z)",metal,__HAVE_FMEDIAN3__,builtin_direct,__metal_fmedian3,,metal_math,385
"float2 fmin(float2 x, float2 y)",metal,,builtin_direct,__metal_fmin,,metal_math,390
"float2 fmin3(float2 x, float2 y, float2 z)",metal,__HAVE_FMIN3__,builtin_direct,__metal_fmin3,,metal_math,395
"float2 fmod(float2 x, float2 y)",metal,,builtin_direct,__metal_fmod,,metal_math,400
float2 fract(float2 x),metal,,builtin_direct,__metal_fract,,metal_math,404
"float2 frexp(float2 x, thread int2 &exp)",metal,,builtin_direct,__metal_frexp,,metal_math,408
int2 ilogb(float2 x),metal,,builtin_direct,__metal_ilogb,,metal_math,412
"float2 ldexp(float2 x, int2 k)",metal,,builtin_direct,__metal_ldexp,,metal_math,416
float2 log(float2 x),metal,,builtin_direct,__metal_log,,metal_math,420
float2 log10(float2 x),metal,,builtin_direct,__metal_log10,,metal_math,424
float2 log2(float2 x),metal,,builtin_direct,__metal_log2,,metal_math,428
"float2 max(float2 x, float2 y)",metal,,builtin_direct,__metal_fmax,,metal_math,432
"float2 max3(float2 x, float2 y, float2 z)",metal,__HAVE_MAX3__,builtin_direct,__metal_fmax3,,metal_math,437
"float2 median3(float2 x, float2 y, float2 z)",metal,__HAVE_MEDIAN3__,builtin_direct,__metal_fmedian3,,metal_math,443
"float2 min(float2 x, float2 y)",metal,,builtin_direct,__metal_fmin,,metal_math,448
"float2 min3(float2 x, float2 y, float2 z)",metal,__HAVE_MIN3__,builtin_direct,__metal_fmin3,,metal_math,453
"float2 modf(float2 x, thread float2 &intval)",metal,,builtin_composed,__metal_select __metal_trunc,,metal_math,458
"float2 nextafter(float2 x, float2 y)",metal,__HAVE_NEXTAFTER__,builtin_direct,__metal_nextafter,,metal_math,465
"float2 pow(float2 x, float2 y)",metal,,builtin_direct,__metal_pow,,metal_math,470
"float2 powr(float2 x, float2 y)",metal,,builtin_direct,__metal_powr,,metal_math,474
float2 rint(float2 x),metal,,builtin_direct,__metal_rint,,metal_math,478
float2 round(float2 x),metal,,builtin_direct,__metal_round,,metal_math,482
float2 rsqrt(float2 x),metal,,builtin_direct,__metal_rsqrt,,metal_math,486
float2 sin(float2 x),metal,,builtin_direct,__metal_sin,,metal_math,490
"float2 sincos(float2 x, thread float2 &cosval)",metal,,builtin_direct,__metal_sincos,,metal_math,494
float2 sinh(float2 x),metal,,builtin_direct,__metal_sinh,,metal_math,498
float2 sinpi(float2 x),metal,__HAVE_TRIG_PI__,builtin_direct,__metal_sinpi,,metal_math,503
float2 sqrt(float2 x),metal,,builtin_direct,__metal_sqrt,,metal_math,508
float2 tan(float2 x),metal,,builtin_direct,__metal_tan,,metal_math,512
float2 tanh(float2 x),metal,,builtin_direct,__metal_tanh,,metal_math,516
float2 tanpi(float2 x),metal,__HAVE_TRIG_PI__,builtin_direct,__metal_tanpi,,metal_math,521
float2 trunc(float2 x),metal,,builtin_direct,__metal_trunc,,metal_math,526
float3 abs(float3 x),metal,,builtin_direct,__metal_fabs,,metal_math,530
float3 acos(float3 x),metal,,builtin_direct,__metal_acos,,metal_math,534
float3 acosh(float3 x),metal,,builtin_direct,__metal_acosh,,metal_math,538
float3 asin(float3 x),metal,,builtin_direct,__metal_asin,,metal_math,542
float3 asinh(float3 x),metal,,builtin_direct,__metal_asinh,,metal_math,546
float3 atan(float3 y_over_x),metal,,builtin_direct,__metal_atan,,metal_math,550
"float3 atan2(float3 y, float3 x)",metal,,builtin_direct,__metal_atan2,,metal_math,554
float3 atanh(float3 x),metal,,builtin_direct,__metal_atanh,,metal_math,558
float3 ceil(float3 x),metal,,builtin_direct,__metal_ceil,,metal_math,562
"float3 copysign(float3 x, float3 y)",metal,,header_composed,,,metal_math,566
float3 cos(float3 x),metal,,builtin_direct,__metal_cos,,metal_math,575
float3 cosh(float3 x),metal,,builtin_direct,__metal_cosh,,metal_math,579
float3 cospi(float3 x),metal,__HAVE_TRIG_PI__,builtin_direct,__metal_cospi,,metal_math,584
"float3 divide(float3 x, float3 y)",metal,__HAVE_DIVIDE__,builtin_direct,__metal_divide,,metal_math,590
float3 exp(float3 x),metal,,builtin_direct,__metal_exp,,metal_math,595
float3 exp10(float3 x),metal,,builtin_direct,__metal_exp10,,metal_math,599
float3 exp2(float3 x),metal,,builtin_direct,__metal_exp2,,metal_math,603
float3 fabs(float3 x),metal,,builtin_direct,__metal_fabs,,metal_math,607
"float3 fdim(float3 x, float3 y)",metal,,builtin_direct,__metal_select,,metal_math,611
float3 floor(float3 x),metal,,builtin_direct,__metal_floor,,metal_math,617
"float3 fma(float3 x, float3 y, float3 z)",metal,__HAVE_FMA__,builtin_direct,__metal_fma,,metal_math,622
"float3 fmax(float3 x, float3 y)",metal,,builtin_direct,__metal_fmax,,metal_math,627
"float3 fmax3(float3 x, float3 y, float3 z)",metal,__HAVE_FMAX3__,builtin_direct,__metal_fmax3,,metal_math,632
"float3 fmedian3(float3 x, float3 y, float3 z)",metal,__HAVE_FMEDIAN3__,builtin_direct,__metal_fmedian3,,metal_math,638
"float3 fmin(float3 x, float3 y)",metal,,builtin_direct,__metal_fmin,,metal_math,643
"float3 fmin3(float3 x, float3 y, float3 z)",metal,__HAVE_FMIN3__,builtin_direct,__metal_fmin3,,metal_math,648
"float3 fmod(float3 x, float3 y)",metal,,builtin_direct,__metal_fmod,,metal_math,653
float3 fract(float3 x),metal,,builtin_direct,__metal_fract,,metal_math,657
"float3 frexp(float3 x, thread int3 &exp)",metal,,builtin_direct,__metal_frexp,,metal_math,661
int3 ilogb(float3 x),metal,,builtin_direct,__metal_ilogb,,metal_math,665
"float3 ldexp(float3 x, int3 k)",metal,,builtin_direct,__metal_ldexp,,metal_math,669
float3 log(float3 x),metal,,builtin_direct,__metal_log,,metal_math,673
float3 log10(float3 x),metal,,builtin_direct,__metal_log10,,metal_math,677
float3 log2(float3 x),metal,,builtin_direct,__metal_log2,,metal_math,681
"float3 max(float3 x, float3 y)",metal,,builtin_direct,__metal_fmax,,metal_math,685
"float3 max3(float3 x, float3 y, float3 z)",metal,__HAVE_MAX3__,builtin_direct,__metal_fmax3,,metal_math,690
"float3 median3(float3 x, float3 y, float3 z)",metal,__HAVE_MEDIAN3__,builtin_direct,__metal_fmedian3,,metal_math,696
"float3 min(float3 x, float3 y)",metal,,builtin_direct,__metal_fmin,,metal_math,701
"float3 min3(float3 x, float3 y, float3 z)",metal,__HAVE_MIN3__,builtin_direct,__metal_fmin3,,metal_math,706
"float3 modf(float3 x, thread float3 &intval)",metal,,builtin_composed,__metal_select __metal_trunc,,metal_math,711
"float3 nextafter(float3 x, float3 y)",metal,__HAVE_NEXTAFTER__,builtin_direct,__metal_nextafter,,metal_math,718
"float3 pow(float3 x, float3 y)",metal,,builtin_direct,__metal_pow,,metal_math,723
"float3 powr(float3 x, float3 y)",metal,,builtin_direct,__metal_powr,,metal_math,727
float3 rint(float3 x),metal,,builtin_direct,__metal_rint,,metal_math,731
float3 round(float3 x),metal,,builtin_direct,__metal_round,,metal_math,735
float3 rsqrt(float3 x),metal,,builtin_direct,__metal_rsqrt,,metal_math,739
float3 sin(float3 x),metal,,builtin_direct,__metal_sin,,metal_math,743
"float3 sincos(float3 x, thread float3 &cosval)",metal,,builtin_direct,__metal_sincos,,metal_math,747
float3 sinh(float3 x),metal,,builtin_direct,__metal_sinh,,metal_math,751
float3 sinpi(float3 x),metal,__HAVE_TRIG_PI__,builtin_direct,__metal_sinpi,,metal_math,756
float3 sqrt(float3 x),metal,,builtin_direct,__metal_sqrt,,metal_math,761
float3 tan(float3 x),metal,,builtin_direct,__metal_tan,,metal_math,765
float3 tanh(float3 x),metal,,builtin_direct,__metal_tanh,,metal_math,769
float3 tanpi(float3 x),metal,__HAVE_TRIG_PI__,builtin_direct,__metal_tanpi,,metal_math,774
float3 trunc(float3 x),metal,,builtin_direct,__metal_trunc,,metal_math,779
float4 abs(float4 x),metal,,builtin_direct,__metal_fabs,,metal_math,783
float4 acos(float4 x),metal,,builtin_direct,__metal_acos,,metal_math,787
float4 acosh(float4 x),metal,,builtin_direct,__metal_acosh,,metal_math,791
float4 asin(float4 x),metal,,builtin_direct,__metal_asin,,metal_math,795
float4 asinh(float4 x),metal,,builtin_direct,__metal_asinh,,metal_math,799
float4 atan(float4 y_over_x),metal,,builtin_direct,__metal_atan,,metal_math,803
"float4 atan2(float4 y, float4 x)",metal,,builtin_direct,__metal_atan2,,metal_math,807
float4 atanh(float4 x),metal,,builtin_direct,__metal_atanh,,metal_math,811
float4 ceil(float4 x),metal,,builtin_direct,__metal_ceil,,metal_math,815
"float4 copysign(float4 x, float4 y)",metal,,header_composed,,,metal_math,819
float4 cos(float4 x),metal,,builtin_direct,__metal_cos,,metal_math,828
float4 cosh(float4 x),metal,,builtin_direct,__metal_cosh,,metal_math,832
float4 cospi(float4 x),metal,__HAVE_TRIG_PI__,builtin_direct,__metal_cospi,,metal_math,837
"float4 divide(float4 x, float4 y)",metal,__HAVE_DIVIDE__,builtin_direct,__metal_divide,,metal_math,843
float4 exp(float4 x),metal,,builtin_direct,__metal_exp,,metal_math,848
float4 exp10(float4 x),metal,,builtin_direct,__metal_exp10,,metal_math,852
float4 exp2(float4 x),metal,,builtin_direct,__metal_exp2,,metal_math,856
float4 fabs(float4 x),metal,,builtin_direct,__metal_fabs,,metal_math,860
"float4 fdim(float4 x, float4 y)",metal,,builtin_direct,__metal_select,,metal_math,864
float4 floor(float4 x),metal,,builtin_direct,__metal_floor,,metal_math,870
"float4 fma(float4 x, float4 y, float4 z)",metal,__HAVE_FMA__,builtin_direct,__metal_fma,,metal_math,875
"float4 fmax(float4 x, float4 y)",metal,,builtin_direct,__metal_fmax,,metal_math,880
"float4 fmax3(float4 x, float4 y, float4 z)",metal,__HAVE_FMAX3__,builtin_direct,__metal_fmax3,,metal_math,885
"float4 fmedian3(float4 x, float4 y, float4 z)",metal,__HAVE_FMEDIAN3__,builtin_direct,__metal_fmedian3,,metal_math,891
"float4 fmin(float4 x, float4 y)",metal,,builtin_direct,__metal_fmin,,metal_math,896
"float4 fmin3(float4 x, float4 y, float4 z)",metal,__HAVE_FMIN3__,builtin_direct,__metal_fmin3,,metal_math,901
"float4 fmod(float4 x, float4 y)",metal,,builtin_direct,__metal_fmod,,metal_math,906
float4 fract(float4 x),metal,,builtin_direct,__metal_fract,,metal_math,910
"float4 frexp(float4 x, thread int4 &exp)",metal,,builtin_direct,__metal_frexp,,metal_math,914
int4 ilogb(float4 x),metal,,builtin_direct,__metal_ilogb,,metal_math,918
"float4 ldexp(float4 x, int4 k)",metal,,builtin_direct,__metal_ldexp,,metal_math,922
float4 log(float4 x),metal,,builtin_direct,__metal_log,,metal_math,926
float4 log10(float4 x),metal,,builtin_direct,__metal_log10,,metal_math,930
float4 log2(float4 x),metal,,builtin_direct,__metal_log2,,metal_math,934
"float4 max(float4 x, float4 y)",metal,,builtin_direct,__metal_fmax,,metal_math,938
"float4 max3(float4 x, float4 y, float4 z)",metal,__HAVE_MAX3__,builtin_direct,__metal_fmax3,,metal_math,943
"float4 median3(float4 x, float4 y, float4 z)",metal,__HAVE_MEDIAN3__,builtin_direct,__metal_fmedian3,,metal_math,949
"float4 min(float4 x, float4 y)",metal,,builtin_direct,__metal_fmin,,metal_math,954
"float4 min3(float4 x, float4 y, float4 z)",metal,__HAVE_MIN3__,builtin_direct,__metal_fmin3,,metal_math,959
"float4 modf(float4 x, thread float4 &intval)",metal,,builtin_composed,__metal_select __metal_trunc,,metal_math,964
"float4 nextafter(float4 x, float4 y)",metal,__HAVE_NEXTAFTER__,builtin_direct,__metal_nextafter,,metal_math,971
"float4 pow(float4 x, float4 y)",metal,,builtin_direct,__metal_pow,,metal_math,976
"float4 powr(float4 x, float4 y)",metal,,builtin_direct,__metal_powr,,metal_math,980
float4 rint(float4 x),metal,,builtin_direct,__metal_rint,,metal_math,984
float4 round(float4 x),metal,,builtin_direct,__metal_round,,metal_math,988
float4 rsqrt(float4 x),metal,,builtin_direct,__metal_rsqrt,,metal_math,992
float4 sin(float4 x),metal,,builtin_direct,__metal_sin,,metal_math,996
"float4 sincos(float4 x, thread float4 &cosval)",metal,,builtin_direct,__metal_sincos,,metal_math,1000
float4 sinh(float4 x),metal,,builtin_direct,__metal_sinh,,metal_math,1004
float4 sinpi(float4 x),metal,__HAVE_TRIG_PI__,builtin_direct,__metal_sinpi,,metal_math,1009
float4 sqrt(float4 x),metal,,builtin_direct,__metal_sqrt,,metal_math,1014
float4 tan(float4 x),metal,,builtin_direct,__metal_tan,,metal_math,1018
float4 tanh(float4 x),metal,,builtin_direct,__metal_tanh,,metal_math,1022
float4 tanpi(float4 x),metal,__HAVE_TRIG_PI__,builtin_direct,__metal_tanpi,,metal_math,1027
float4 trunc(float4 x),metal,,builtin_direct,__metal_trunc,,metal_math,1032
float8 abs(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fabs,,metal_math,1037
float8 acos(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_acos,,metal_math,1041
float8 acosh(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_acosh,,metal_math,1045
float8 asin(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_asin,,metal_math,1049
float8 asinh(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_asinh,,metal_math,1053
float8 atan(float8 y_over_x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_atan,,metal_math,1057
"float8 atan2(float8 y, float8 x)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_atan2,,metal_math,1061
float8 atanh(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_atanh,,metal_math,1065
float8 ceil(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_ceil,,metal_math,1069
"float8 copysign(float8 x, float8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,header_composed,,,metal_math,1073
float8 cos(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_cos,,metal_math,1082
float8 cosh(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_cosh,,metal_math,1086
float8 cospi(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_TRIG_PI__,builtin_direct,__metal_cospi,,metal_math,1091
"float8 divide(float8 x, float8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_DIVIDE__,builtin_direct,__metal_divide,,metal_math,1097
float8 exp(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_exp,,metal_math,1102
float8 exp10(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_exp10,,metal_math,1106
float8 exp2(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_exp2,,metal_math,1110
float8 fabs(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fabs,,metal_math,1114
"float8 fdim(float8 x, float8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_select,,metal_math,1118
float8 floor(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_floor,,metal_math,1124
"float8 fma(float8 x, float8 y, float8 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_FMA__,builtin_direct,__metal_fma,,metal_math,1129
"float8 fmax(float8 x, float8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fmax,,metal_math,1134
"float8 fmax3(float8 x, float8 y, float8 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_FMAX3__,builtin_direct,__metal_fmax3,,metal_math,1139
"float8 fmedian3(float8 x, float8 y, float8 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_FMEDIAN3__,builtin_direct,__metal_fmedian3,,metal_math,1145
"float8 fmin(float8 x, float8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fmin,,metal_math,1150
"float8 fmin3(float8 x, float8 y, float8 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_FMIN3__,builtin_direct,__metal_fmin3,,metal_math,1155
"float8 fmod(float8 x, float8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fmod,,metal_math,1160
float8 fract(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fract,,metal_math,1164
"float8 frexp(float8 x, thread int8 &exp)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_frexp,,metal_math,1168
int8 ilogb(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_ilogb,,metal_math,1172
"float8 ldexp(float8 x, int8 k)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_ldexp,,metal_math,1176
float8 log(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_log,,metal_math,1180
float8 log10(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_log10,,metal_math,1184
float8 log2(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_log2,,metal_math,1188
"float8 max(float8 x, float8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fmax,,metal_math,1192
"float8 max3(float8 x, float8 y, float8 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_MAX3__,builtin_direct,__metal_fmax3,,metal_math,1197
"float8 median3(float8 x, float8 y, float8 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_MEDIAN3__,builtin_direct,__metal_fmedian3,,metal_math,1203
"float8 min(float8 x, float8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fmin,,metal_math,1208
"float8 min3(float8 x, float8 y, float8 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_MIN3__,builtin_direct,__metal_fmin3,,metal_math,1213
"float8 modf(float8 x, thread float8 &intval)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_composed,__metal_select __metal_trunc,,metal_math,1218
"float8 nextafter(float8 x, float8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_NEXTAFTER__,builtin_direct,__metal_nextafter,,metal_math,1225
"float8 pow(float8 x, float8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_pow,,metal_math,1230
"float8 powr(float8 x, float8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_powr,,metal_math,1234
float8 rint(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_rint,,metal_math,1238
float8 round(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_round,,metal_math,1242
float8 rsqrt(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_rsqrt,,metal_math,1246
float8 sin(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_sin,,metal_math,1250
"float8 sincos(float8 x, thread float8 &cosval)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_sincos,,metal_math,1254
float8 sinh(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_sinh,,metal_math,1258
float8 sinpi(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_TRIG_PI__,builtin_direct,__metal_sinpi,,metal_math,1263
float8 sqrt(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_sqrt,,metal_math,1268
float8 tan(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_tan,,metal_math,1272
float8 tanh(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_tanh,,metal_math,1276
float8 tanpi(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_TRIG_PI__,builtin_direct,__metal_tanpi,,metal_math,1281
float8 trunc(float8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_trunc,,metal_math,1286
float16 abs(float16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fabs,,metal_math,1292
float16 acos(float16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_acos,,metal_math,1296
float16 acosh(float16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_acosh,,metal_math,1300
float16 asin(float16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_asin,,metal_math,1304
float16 asinh(float16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_asinh,,metal_math,1308
float16 atan(float16 y_over_x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_atan,,metal_math,1312
"float16 atan2(float16 y, float16 x)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_atan2,,metal_math,1316
