msl_api_signature,namespace,guard,class,metal_builtins,clang_builtins,file,line
half8 floor(half8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_floor,,metal_math,4172
"half8 fma(half8 x, half8 y, half8 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_FMA__,builtin_direct,__metal_fma,,metal_math,4177
"half8 fmax(half8 x, half8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fmax,,metal_math,4182
"half8 fmax3(half8 x, half8 y, half8 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_FMAX3__,builtin_direct,__metal_fmax3,,metal_math,4187
"half8 fmedian3(half8 x, half8 y, half8 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_FMEDIAN3__,builtin_direct,__metal_fmedian3,,metal_math,4193
"half8 fmin(half8 x, half8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fmin,,metal_math,4198
"half8 fmin3(half8 x, half8 y, half8 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_FMIN3__,builtin_direct,__metal_fmin3,,metal_math,4203
"half8 fmod(half8 x, half8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fmod,,metal_math,4208
half8 fract(half8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fract,,metal_math,4212
"half8 frexp(half8 x, thread int8 &exp)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_frexp,,metal_math,4216
int8 ilogb(half8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_ilogb,,metal_math,4220
"half8 ldexp(half8 x, int8 k)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_ldexp,,metal_math,4224
half8 log(half8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_log,,metal_math,4228
half8 log10(half8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_log10,,metal_math,4232
half8 log2(half8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_log2,,metal_math,4236
"half8 max(half8 x, half8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fmax,,metal_math,4240
"half8 max3(half8 x, half8 y, half8 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_MAX3__,builtin_direct,__metal_fmax3,,metal_math,4245
"half8 median3(half8 x, half8 y, half8 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_MEDIAN3__,builtin_direct,__metal_fmedian3,,metal_math,4251
"half8 min(half8 x, half8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fmin,,metal_math,4256
"half8 min3(half8 x, half8 y, half8 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_MIN3__,builtin_direct,__metal_fmin3,,metal_math,4261
"half8 modf(half8 x, thread half8 &intval)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_composed,__metal_select __metal_trunc,,metal_math,4266
"half8 nextafter(half8 x, half8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_NEXTAFTER__,builtin_direct,__metal_nextafter,,metal_math,4273
"half8 pow(half8 x, half8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_pow,,metal_math,4278
"half8 powr(half8 x, half8 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_powr,,metal_math,4282
half8 rint(half8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_rint,,metal_math,4286
half8 round(half8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_round,,metal_math,4290
half8 rsqrt(half8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_rsqrt,,metal_math,4294
half8 sin(half8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_sin,,metal_math,4298
"half8 sincos(half8 x, thread half8 &cosval)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_sincos,,metal_math,4302
half8 sinh(half8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_sinh,,metal_math,4306
half8 sinpi(half8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_TRIG_PI__,builtin_direct,__metal_sinpi,,metal_math,4311
half8 sqrt(half8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_sqrt,,metal_math,4316
half8 tan(half8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_tan,,metal_math,4320
half8 tanh(half8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_tanh,,metal_math,4324
half8 tanpi(half8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_TRIG_PI__,builtin_direct,__metal_tanpi,,metal_math,4329
half8 trunc(half8 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_trunc,,metal_math,4334
half16 abs(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fabs,,metal_math,4340
half16 acos(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_acos,,metal_math,4344
half16 acosh(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_acosh,,metal_math,4348
half16 asin(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_asin,,metal_math,4352
half16 asinh(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_asinh,,metal_math,4356
half16 atan(half16 y_over_x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_atan,,metal_math,4360
"half16 atan2(half16 y, half16 x)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_atan2,,metal_math,4364
half16 atanh(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_atanh,,metal_math,4368
half16 ceil(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_ceil,,metal_math,4372
"half16 copysign(half16 x, half16 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,header_composed,,,metal_math,4376
half16 cos(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_cos,,metal_math,4385
half16 cosh(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_cosh,,metal_math,4389
half16 cospi(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_TRIG_PI__,builtin_direct,__metal_cospi,,metal_math,4394
"half16 divide(half16 x, half16 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_DIVIDE__,builtin_direct,__metal_divide,,metal_math,4400
half16 exp(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_exp,,metal_math,4405
