scene,file,symbol,builtin,stage1_source
P08M40,probe.metal,probe_p08m_iq_0,__metal_abort_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_cc_1,__metal_clear_barrier_compute_command,auto_construct
P08M40,probe.metal,probe_p08m_rc_2,__metal_clear_barrier_render_command,auto_construct
P08M40,probe.metal,probe_p08m_iq_3,__metal_commit_bounding_box_intersection_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_iq_4,__metal_commit_curve_intersection_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_iq_5,__metal_commit_triangle_intersection_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_cc_6,__metal_concurrent_dispatch_threadgroups_compute_command,auto_construct
P08M40,probe.metal,probe_p08m_cc_7,__metal_concurrent_dispatch_threads_compute_command,auto_construct
P08M40,probe.metal,probe_p08m_cc_8,__metal_copy_compute_command,auto_construct
P08M40,probe.metal,probe_p08m_rc_9,__metal_copy_render_command,auto_construct
P08M40,probe.metal,probe_p08m_rc_10,__metal_draw_mesh_threadgroups_render_command,auto_construct
P08M40,probe.metal,probe_p08m_rc_11,__metal_draw_mesh_threads_render_command,auto_construct
P08M40,probe.metal,probe_p08m_rc_12,__metal_draw_primitives_render_command,auto_construct
P08M40,probe.metal,probe_p08m_iq_13,__metal_get_candidate_curve_distance_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_iq_14,__metal_get_candidate_curve_parameter_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_iq_15,__metal_get_candidate_geometry_id_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_iq_16,__metal_get_candidate_instance_count_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_iq_17,__metal_get_candidate_instance_id_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_iq_18,__metal_get_candidate_intersection_type_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_iq_19,__metal_get_candidate_object_to_world_transform_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_iq_20,__metal_get_candidate_primitive_id_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_iq_21,__metal_get_candidate_ray_direction_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_iq_22,__metal_get_candidate_ray_origin_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_iq_23,__metal_get_candidate_triangle_barycentric_coord_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_iq_24,__metal_get_candidate_triangle_distance_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_iq_25,__metal_get_candidate_user_instance_id_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_iq_26,__metal_get_candidate_world_to_object_transform_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_iq_27,__metal_get_committed_curve_parameter_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_iq_28,__metal_get_committed_distance_intersection_query,auto_construct
P08M40,probe.metal,probe_p08m_iq_29,__metal_get_committed_geometry_id_intersection_query,auto_construct
