scene,file,symbol,builtin,stage1_source
P24B,probe.metal,probe_p24m_pdc,__metal_get_candidate_primitive_data_intersection_query,oneoff_p24
P24B,probe.metal,probe_p24m_pdc2,__metal_get_committed_primitive_data_intersection_query,oneoff_p24
P24B,probe.metal,probe_p24m_pdr,__metal_get_primitive_data_intersection_result,oneoff_p24
P24B,probe.metal,probe_p24m_pdr,__metal_intersect_direct_access,oneoff_p24
P24B,probe.metal,probe_p24m_pdr,__metal_release_intersection_result,oneoff_p24
P24B,probe.metal,probe_p24m_pdr,__metal_get_null_intersection_function_table,oneoff_p24
P24B,probe.metal,probe_p24m_next,__metal_next_intersection_query,oneoff_p24
P24B,probe.metal,probe_p24m_next,__metal_reset_intersection_query,oneoff_p24
P24B,probe.metal,probe_p24m_asnull,__metal_is_null_instance_acceleration_structure,oneoff_p24
P24B,probe.metal,probe_p24m_asnullp,__metal_is_null_primitive_acceleration_structure,oneoff_p24
P24B,probe.metal,probe_p24m_subas,__metal_get_instance_acceleration_structure_instance_acceleration_structure,oneoff_p24
P24B,probe.metal,probe_p24m_subasp,__metal_get_primitive_acceleration_structure_instance_acceleration_structure,oneoff_p24
P24B,probe.metal,probe_p24m_iftbuf,__metal_get_buffer_intersection_function_table,oneoff_p24
P24B,probe.metal,probe_p24m_iftvft,__metal_get_visible_function_table_intersection_function_table,oneoff_p24
P24B,probe.metal,probe_p24m_vftfp,__metal_get_function_pointer_visible_function_table,oneoff_p24
P24B,probe.metal,probe_p24m_cbsize,__metal_get_size_command_buffer,oneoff_p24
P24B,probe.metal,probe_p24m_mload,__metal_simdgroup_matrix_8x8_load,oneoff_p24
P24B,probe.metal,probe_p24m_unif,__metal_is_uniform,oneoff_p24
